protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUROC,0.8661364844040598,0.0720310885726108,0.7766980749720221,0.9555748938360974
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUPRC,0.7486318270185338,0.0762526959297803,0.6539515997165467,0.8433120543205209
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),valid,Accuracy,0.860914227015922,0.0319150256082599,0.8212864887163944,0.9005419653154496
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),valid,F1,0.6670647686173579,0.0805527283825362,0.5670453458276759,0.7670841914070399
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),valid,MCC,0.5940913046054537,0.0948660793925777,0.4762995091729497,0.7118831000379576
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),test,AUROC,0.9412753623188406,0.006912906752818,0.9326918548809268,0.9498588697567544
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),test,AUPRC,0.8782788935340864,0.0390989944351652,0.8297310797779723,0.9268267072902004
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),test,Accuracy,0.9244897959183674,0.0091268080714277,0.91315736691756,0.9358222249191748
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),test,F1,0.8363428445763923,0.0257301778595343,0.8043946090608289,0.8682910800919557
scaffold,xgb__ecfp_1024_rdkit2d_normalized_200,XGBoost,ECFP4 (1024-bit) + RDKit2D (200-d),test,MCC,0.7881851664336013,0.0297842161241328,0.7512031775575453,0.8251671553096572
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUROC,0.8554719963866304,0.049298720227913,0.794259550322111,0.9166844424511498
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUPRC,0.691698624536869,0.0829268122113092,0.5887313873282819,0.7946658617454562
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),valid,Accuracy,0.8269581407293272,0.023907257548711,0.7972733597353073,0.856642921723347
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),valid,F1,0.55525147541644,0.0878129854291936,0.4462172528342184,0.6642856979986617
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),valid,MCC,0.4733067583025413,0.0773829506187595,0.3772231344444476,0.569390382160635
