zinc_id,smiles
ZINC001203580469,Cn1c(=O)n(C2CCN(Cc3cc(Cl)cc(Cl)c3O)CC2)c2ccccc21
ZINC001233027955,O=c1[nH]c2ccccc2n1C1CCN(Cc2c(O)cc(Br)cc2F)CC1
ZINC001233736614,O=c1[nH]c2ccccc2n1C1CCN(Cc2cccc(OC(F)(F)F)c2O)CC1
ZINC001235058447,O=c1[nH]c2ccccc2n1C1CCN(Cc2cc(Br)cc(F)c2O)CC1
ZINC001235292667,O=c1[nH]c2ccccc2n1C1CCN(Cc2cc(F)cc(Br)c2O)CC1
ZINC001236796395,Cn1c(=O)n(C2CCN(Cc3cc(Cl)c(Cl)cc3O)CC2)c2ccccc21
ZINC001237052937,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(OCC(F)(F)F)cc2O)CC1
ZINC001237083091,Cn1c(=O)n(C2CCN(Cc3c(O)ccc(Cl)c3Cl)CC2)c2ccccc21
ZINC001237118615,O=c1[nH]c2ccccc2n1C1CCN(Cc2c(O)cccc2OC(F)(F)F)CC1
ZINC001237681213,Cc1cc(O)c(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1Br
ZINC001250122852,Cc1cc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c(O)cc1Br
ZINC001138367626,Cn1c(=O)n(C2CCN(Cc3ccc(Br)cc3S(C)(=O)=O)CC2)c2ccccc21
ZINC001139240497,Cn1c(=O)n(C2CCN(Cc3cc(Br)ccc3OCC(=O)O)CC2)c2ccccc21
ZINC001204110756,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc(I)c1O
ZINC001223015493,COC(=O)CC(CC(=O)OC)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223015494,COC(=O)CC(CC(=O)OC)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020777,CCOC(=O)CC(O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)C(=O)OCC
ZINC001223020778,CCOC(=O)CC(O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)C(=O)OCC
ZINC001223020779,CCOC(=O)CC(O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)C(=O)OCC
ZINC001223020780,CCOC(=O)CC(O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)C(=O)OCC
ZINC001223023524,CC(=O)OC[C@@H](CO[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)OC(C)=O
ZINC001223023527,CC(=O)OC[C@H](CO[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)OC(C)=O
ZINC001223023529,CC(=O)OC[C@H](CO[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)OC(C)=O
ZINC001223023530,CC(=O)OC[C@@H](CO[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)OC(C)=O
ZINC001223023549,CC(=O)OCC(COC(C)=O)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223023551,CC(=O)OCC(COC(C)=O)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
